DECK,19,102.58,2025-08-01
csco,20,121.5,2026-08-07
CYATY,115,21.5,2026-06-10
BROS,29,54.42,2025-10-16
BWXT,13,181.12,2026-07-15
RKLB,29,83.66,2026-08-10
CECO,24,82.81,2026-06-02
,,,
BOC,139,14.31,2025-10-10
,,,
GMED,22,87.99,2026-03-10
,,,
BUR,451,4.43,2026-08-13
,,,
MSCI,3,575.43,2026-05-05
,,,
AMTM,92,21.58,2025-06-04
,,,
VLTO,20,98.03,2024-07-11
,,,
UPWK,237,8.41,2026-08-13
,,,
GRAB,395,3.36,2024-04-18
GRAB,688,3.63,2026-08-12
,,,
COP,21,118,2026-06-10
,,,
ROAD,17,112.46,2026-02-04
,,,
IOT,67,36.76,2026-07-17
,,,
INVH,73,27.11,2026-01-15
,,,
TFSL,132,14.99,2026-05-13
,,,
TJX,15,126.13,2024-12-05
,,,
ITW,8,241.06,2024-07-11
,,,
LIF,30,41.51,2026-03-17
,,,
WEX,12,153.8,2025-12-12
,,,
C,20,109.08,2025-12-08
,,,
PLD,16,110.2,2024-05-21
,,,
PRYMY,29,57.51,2026-03-05
,,,
APPN,105,23.68,2026-06-11
APPN,58,34.01,2026-08-13
,,,
PRMB,85,18.76,2026-02-03
,,,
KARO,43,46.27,2025-01-24
KARO,41,48.27,2025-02-13
,,,
V,7,276.1,2024-04-05
,,,
ATZAF,30,66.51,2025-11-06
ATZAF,22,86.98,2026-03-03
,,,
CASY,3,635.38,2026-01-16
,,,
DASH,21,142.33,2024-10-03
DASH,11,169.52,2025-01-07
DASH,7,191.07,2026-02-04
,,,
NU,56,8.23,2023-11-29
NU,150,12.1,2026-06-04
,,,
MRNA,55,45.32,2026-06-03
,,,
SHOP,15,109.08,2025-01-24
,,,
CART,59,33.26,2024-06-26
,,,
VEEV,12,164.75,2026-04-22
,,,
TOST,85,22.91,2026-05-13
,,,
AXON,3,375.01,2026-05-13
,,,
NVDA,8,135.33,2025-05-19
,,,
STRL,2,286.93,2025-09-05
,,,
UNFI,62,24.03,2025-07-10
,,,
INTC,18,50.28,2026-02-06
,,,
DDOG,4,119.02,2026-02-20
,,,
KRKNF,278,1.94,2024-12-11
,,,
HWM,5,123.13,2025-01-16
,,,
CRWD,24,47.84,2023-11-09
CRWD,20,93.72,2024-12-17
,,,
GTX,107,7.94,2024-11-12
